City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
147,Norman Wells,CA,65.282,-126.8329,24.84,86,75,5.75,broken clouds
148,Sungaipenuh,ID,-2.0833,101.3833,75.6,72,100,3.85,overcast clouds
149,Whitianga,NZ,-36.8333,175.7,57.47,71,100,11.03,overcast clouds
150,Wattegama,LK,6.7989,81.4808,77.94,87,100,1.25,overcast clouds
151,Dubai,AE,25.2582,55.3047,80.53,83,0,4.61,haze
152,Iquitos,PE,-3.7481,-73.2472,73.36,94,100,1.48,overcast clouds
153,Arona,ES,28.0996,-16.681,66.56,64,20,6.91,few clouds
154,Olafsvik,IS,64.8945,-23.7142,39.87,79,87,20.29,overcast clouds
155,Faya,SA,18.3851,42.4509,60.64,51,0,1.99,clear sky
156,Salalah,OM,17.0151,54.0924,76.82,70,0,0.83,clear sky
157,Raga,SS,8.4596,25.678,69.03,92,58,2.33,broken clouds
158,Namibe,AO,-15.1961,12.1522,64.83,88,34,4.83,scattered clouds
159,Bambanglipuro,ID,-7.95,110.2833,81.39,80,99,5.28,light rain
160,Airai,TL,-8.9266,125.4092,77.58,52,45,2.06,scattered clouds
161,Mangan,IN,27.5167,88.5333,76.6,36,0,5.77,clear sky
162,Camacha,PT,33.0833,-16.3333,67.42,94,20,4.61,few clouds
163,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,clear sky
164,Mehamn,NO,71.0357,27.8492,37.31,75,40,17.27,scattered clouds
165,Villaviciosa,ES,43.4813,-5.4357,64.96,86,75,5.39,broken clouds
166,Rolla,US,37.9514,-91.7713,56.01,43,0,10.36,clear sky
167,Natal,BR,-5.795,-35.2094,75.42,78,40,9.22,scattered clouds
168,Yanam,IN,16.7333,82.2167,85.24,66,25,9.89,scattered clouds
169,Nan,TH,18.8333,100.6667,82.6,57,2,1.07,clear sky
170,Mahebourg,MU,-20.4081,57.7,74.25,75,20,10.74,few clouds
171,Magnor,SE,59.9511,12.1996,37.13,98,92,2.17,overcast clouds
172,Vinstra,NO,61.5952,9.7523,35.19,60,28,2.08,scattered clouds
173,Yar-Sale,RU,66.8333,70.8333,32.07,97,100,14.36,light snow
174,Yarada,IN,17.65,83.2667,86.32,62,20,8.05,haze
175,Naze,JP,28.3667,129.4833,76.37,71,20,18.52,few clouds
176,Qeshm,IR,26.9581,56.2719,73.27,58,0,4.07,clear sky
177,Launceston,AU,-41.45,147.1667,67.15,72,100,8.05,overcast clouds
178,Changli,CN,39.7042,119.1506,70.5,30,18,12.53,few clouds
179,Nicoya,CR,10.1483,-85.452,74.12,93,98,3.33,overcast clouds
180,Richards Bay,ZA,-28.783,32.0377,71.1,90,100,9.82,light rain
181,Sabang,ID,5.8933,95.3214,80.17,80,99,24.65,light rain
182,Tacuarembo,UY,-31.7333,-55.9833,60.94,98,100,9.82,light rain
183,Adelaide,AU,-34.9333,138.6,76.06,78,20,12.66,few clouds
184,Namatanai,PG,-3.6667,152.4333,86.09,63,100,4.07,overcast clouds
185,Noumea,NC,-22.2763,166.4572,81.0,99,99,16.96,overcast clouds
186,Buchanan,LR,5.8808,-10.0467,74.71,91,65,2.01,moderate rain
187,San Cristobal,VE,7.7669,-72.225,66.6,92,100,1.45,overcast clouds
188,Bambous Virieux,MU,-20.3428,57.7575,74.21,75,26,10.85,scattered clouds
189,Ixtapa,MX,20.7,-105.2,75.83,95,84,1.79,light rain
190,Bargarh,IN,21.3333,83.6167,76.37,63,1,6.4,clear sky
191,Morondava,MG,-20.2833,44.2833,77.32,78,0,3.49,clear sky
192,Devils Lake,US,48.1128,-98.8651,57.31,44,0,11.5,clear sky
193,Ust-Kuyga,RU,70.0167,135.6,2.68,96,89,5.12,overcast clouds
194,Kruszwica,PL,52.6756,18.3313,36.14,71,84,11.7,broken clouds
195,Sioux Lookout,CA,50.1001,-91.917,38.25,89,100,8.25,overcast clouds
196,Skibbereen,IE,51.55,-9.2667,59.11,93,89,24.74,overcast clouds
197,Mporokoso,ZM,-9.3727,30.125,67.23,44,100,6.73,overcast clouds
198,Omboue,GA,-1.5746,9.2618,74.97,90,89,5.68,overcast clouds
199,Zhangjiakou,CN,40.81,114.8794,62.55,39,6,3.65,clear sky
200,Kaeo,NZ,-35.1,173.7833,66.33,62,72,5.23,broken clouds
201,Powassan,CA,46.0334,-79.3496,41.16,92,100,7.09,overcast clouds
202,Meulaboh,ID,4.1363,96.1285,74.97,94,100,7.07,overcast clouds
203,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,70.83,95,100,2.55,moderate rain
204,Georgetown,MY,5.4112,100.3354,89.53,68,20,5.75,few clouds
205,Byron Bay,AU,-28.65,153.6167,71.71,85,94,16.91,light rain
206,Iranshahr,IR,27.2025,60.6848,80.73,13,1,4.18,clear sky
207,Antofagasta,CL,-23.65,-70.4,58.69,77,44,3.85,scattered clouds
208,San Quintin,MX,30.4833,-115.95,69.67,77,0,1.52,clear sky
209,Broken Hill,AU,-31.95,141.4333,73.99,51,59,12.66,broken clouds
210,Arlit,NE,18.7369,7.3853,73.83,24,0,6.04,clear sky
211,Hami,CN,42.8,93.45,55.74,30,5,8.14,clear sky
212,Lata,PT,40.1629,-8.3327,59.07,97,100,5.19,overcast clouds
213,Iracoubo,GF,5.4802,-53.2011,79.27,82,94,8.03,overcast clouds
214,Abu Samrah,SY,35.3029,37.1841,62.96,89,72,8.75,broken clouds
215,Kushiro,JP,42.975,144.3747,60.26,61,67,9.19,broken clouds
216,Guerrero Negro,MX,27.9769,-114.0611,71.22,82,0,9.62,clear sky
217,Tolaga Bay,NZ,-38.3667,178.3,53.85,60,98,17.13,overcast clouds
218,Yazman,PK,29.1212,71.7446,79.81,39,0,12.91,clear sky
219,Vilhena,BR,-12.7406,-60.1458,69.67,95,100,2.57,overcast clouds
220,Marsa Matruh,EG,31.3525,27.2453,70.02,69,54,7.56,broken clouds
221,Suhbaatar,MN,50.2314,106.2078,40.05,59,99,5.73,overcast clouds
222,Buraydah,SA,26.326,43.975,72.36,16,0,7.49,clear sky
223,Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,4.72,light snow
224,Innisfail,AU,-17.5333,146.0333,81.82,77,97,8.39,overcast clouds
225,Laguna,US,38.421,-121.4238,73.18,53,0,0.0,clear sky
226,Souillac,MU,-20.5167,57.5167,72.99,73,19,10.54,few clouds
227,Leningradskiy,RU,69.3833,178.4167,30.36,96,100,7.2,overcast clouds
228,Thompson,CA,55.7435,-97.8558,45.46,75,73,10.71,broken clouds
229,Upata,VE,8.0086,-62.3989,76.19,94,73,4.21,broken clouds
230,Bubaque,GW,11.2833,-15.8333,80.94,73,52,5.01,light rain
231,Genhe,CN,50.7833,121.5167,37.58,54,100,3.62,overcast clouds
232,Katobu,ID,-4.9408,122.5276,93.58,46,99,2.39,overcast clouds
233,Serafimovich,RU,49.5786,42.736,43.63,87,100,1.19,overcast clouds
234,Mastic Beach,US,40.7668,-72.8521,57.97,59,0,18.99,clear sky
235,Hamilton,US,39.1834,-84.5333,47.77,49,3,1.01,clear sky
236,Klyuchi,RU,52.2667,79.1667,52.29,51,100,13.73,overcast clouds
237,Russell,US,32.3502,-85.1999,45.63,93,0,0.0,clear sky
238,Khatanga,RU,71.9667,102.5,10.24,92,46,3.83,scattered clouds
239,Bilibino,RU,68.0546,166.4372,7.47,99,90,1.9,overcast clouds
240,Safranbolu,TR,41.2508,32.6942,40.98,89,28,2.01,scattered clouds
241,Constitucion,CL,-35.3333,-72.4167,53.29,83,100,10.2,overcast clouds
242,Rawson,AR,-43.3002,-65.1023,48.0,59,99,11.63,overcast clouds
243,Bethel,US,41.3712,-73.414,54.54,80,0,0.0,clear sky
244,Santa Helena,BR,-2.2311,-45.3,72.7,99,20,2.73,few clouds
245,Necochea,AR,-38.5473,-58.7368,50.72,84,16,6.06,few clouds
246,San Patricio,US,28.017,-97.5169,73.26,59,0,9.89,clear sky
247,Fortuna,US,40.5982,-124.1573,52.14,85,100,0.0,overcast clouds
248,Isiro,CD,2.7739,27.616,66.16,100,100,0.51,overcast clouds
249,Novoutkinsk,RU,56.993,59.5571,32.74,80,55,8.95,broken clouds
250,Touros,BR,-5.1989,-35.4608,77.14,70,40,17.43,scattered clouds
251,Altamirano,MX,16.8833,-92.15,54.36,100,100,0.94,light rain
252,Palasa,IN,18.7667,84.4167,82.38,66,2,7.25,clear sky
253,Linqiong,CN,30.4159,103.4609,74.35,45,95,1.7,overcast clouds
254,Zhongshu,CN,24.5167,103.7667,66.52,76,90,3.15,overcast clouds
255,Valdivia,CL,-39.8142,-73.2459,48.29,77,99,2.77,overcast clouds
256,Bud,US,39.447,-86.1758,48.15,51,7,9.33,clear sky
